Topic,Statement,Link
India's October car^ motorbike sales skid as dealers caution over stock,Retail car sales in India fell by 8.8% in October and motorbikes by 26.8% from a year ago^ with purchasing slow to recover from the effects of the ongoing COVID-19 pandemic^ data released by automobile dealers on Monday showed.  The sales numbers^ based on vehicles registered in the country^ were higher than September as more people visited car showrooms^ but the Federation of Automobile Dealers Association (FADA) warned that momentum is slow.  New cars fared better than older models^ entry-level motorcycles saw poor demand and discounts offered by automakers in October 2019 were higher - all of which affected sales this year^ FADA President Vinkesh Gulati said in a statement.,www.in.finance.yahoo.com/news//news/indias-october-car-motorbike-sales-114041252.html
Suzuki expects annual profit to shrink by a quarter as India sales slump,Suzuki Motor Corp on Thursday forecast operating profit to fall by a quarter to 160 billion yen ($1.5 billion) in the year to March as sales^ including in its key Indian market^ shrink amid the coronavirus pandemic.  Suzuki's Indian car sales in the first half of the year fell 36% to 432^000 vehicles^ and dipped in other markets^ including Japan^ Indonesia and Europe as people stay away from dealerships.  "We don't know what will happen with the coronavirus in India or what measures the government will implement^ so that makes the market difficult to predict^" Suzuki's president^ Toshihiro Suzuki said in a conference call.,www.in.finance.yahoo.com/news//news/suzuki-motor-forecasts-full-operating-063035542.html

company :RELIANCE.NS
India ONGC sees peak gas output from east coast block in 2024,India^ the world's fourth biggest importer of liquefied natural gas^ wants to boost local gas output as Prime Minister Narendra has set a target to raise the share of the cleaner fuel in the country's energy mix to 15% by 2030 from the current 6%.  Most of the future gas production is expected from the Krishna Godavari basin^ where ONGC and Reliance Industries operate blocks.,www.in.finance.yahoo.com/news//news/india-ongc-sees-peak-gas-123121454.html
India's Future Group shares soar after court lifts hold on Reliance deal,Shares in Future Group companies jumped nearly 10% on Tuesday^ a day after an Indian court overturned an order that had stalled Future Group's $3.4 billion deal to sell its retail assets to conglomerate Reliance Industries Ltd.  The court's decision is the latest twist in the Future Group saga^ coming after a New Delhi court last week sided with Future's partner Amazon.com Inc's challenge and put Future's asset sale to Reliance Industries on hold^ which led to an appeal from the Indian retail group.  A two-judge bench hearing Future's appeal on Monday put on hold the New Delhi court's previous ruling^ two sources familiar with the proceedings said.,www.in.finance.yahoo.com/news//news/indias-future-group-shares-soar-050855091.html
Indian shares snap six-day rally as investors book gains in autos,Indian shares snapped a six-day rally on Tuesday^ as investors locked in gains in high-flying automotive stocks following news of lower vehicle sales in January.  The NSE Nifty 50 index ended 0.04% lower at 15^109.30^ having hit a record high earlier in the session.  The S&P BSE Sensex also closed 0.04% lower at 51^329.08.,www.in.finance.yahoo.com/news//news/indian-shares-modestly-seventh-day-040221758.html

company :CIPLA.NS
Indian demand for COVID-19 drug remdesivir rising sharply - Cipla,Demand for COVID-19 antiviral drug remdesivir is rising sharply in India^ a top executive at drugmaker Cipla Ltd <CIPL.NS> said on Monday^ even as experts remain divided over its effectiveness.  Remdesivir was developed by U.S. drugmaker Gilead Sciences Inc <GILD.O>^ which cut its 2020 revenue forecast last month^ citing lower-than-expected demand and difficulty in predicting sales of the treatment.  Cipla is among several firms licensed to make and sell generic versions in developing nations.,www.in.finance.yahoo.com/news//news/indian-demand-covid-19-drug-085411506.html
Zydus Cadila launches India's cheapest remdesivir version at $37 per vial,Zydus Cadila on Thursday launched the cheapest generic version of Gilead Sciences' antiviral drug remdesivir in India to treat COVID-19 following reports of shortages at hospitals in the world's third-worst hit nation.  Zydus has priced it at 2^800 rupees ($37.44) per 100mg vial.  It will be sold under the brand name Remdac to government and private hospitals treating COVID-19 patients^ the company said in a regulatory filing https://reut.rs/3gTivT4.,www.in.finance.yahoo.com/news//news/zydus-cadila-launches-indias-cheapest-041620284.html
India's shortage of remdesivir is easing^ says producer Cipla,India's supply of antiviral drug remdesivir and generic equivalents is stabilising after shortages of the vital COVID-19 medicine at hospitals^ according to a top executive at one of the country's big drugmakers^ Cipla Ltd.  Remdesivir^ made by U.S.-based Gilead Sciences Inc^ has been in high demand globally^ and a handful of companies including Cipla are authorised to make and sell generic versions in 127 developing nations.  Cipla's launch of remdesivir in late June^ along with subsequent launches by others^ has helped ease supply bottlenecks in India^ Cipla's Global Chief Financial Officer^ Kedar Upadhye^ told Reuters.,www.in.finance.yahoo.com/news//news/indias-shortage-remdesivir-easing-says-143352907.html

company :WIPRO.NS
The Zacks Analyst Blog Highlights: MSCI^ Black Knight Financial Services^ SPS Commerce^ FactSet Research Systems and Wipro,The Zacks Analyst Blog Highlights: MSCI^ Black Knight Financial Services^ SPS Commerce^ FactSet Research Systems and Wipro,www.in.finance.yahoo.com/news//news/zacks-analyst-blog-highlights-msci-113511125.html
Wipro shares fall nearly 7% as organic growth^ revival plan disappoint,Shares of Wipro Ltd fell 6.8% on Wednesday^ a day after the software services firm posted quarterly organic revenue growth that was lower than peers and disappointed some investors with its plans to revive growth.  Chief Executive Officer Thierry Delaporte^ who took the helm in July^ said on Tuesday Wipro would focus more on large deals and "prioritize the markets and sectors that are relevant^" without giving more details.  "The strategic roadmap from the CEO to revive growth was not as strong as it was expected to be^" IDBI Capital research analyst Urmil Shah said.,www.in.finance.yahoo.com/news//news/wipro-shares-fall-nearly-7-061646082.html
Sensex^ Nifty rise for sixth session as buyback plans boost TCS^ Wipro,Indian shares ended higher for a sixth session as buyback plans from Tata Consultancy Services and Wipro powered the main stock index to a level last seen in February.  IT stocks were among the top gainers on the blue-chip Nifty 50^ leading the Nifty IT index up as much as 5.5% to a record high.  Wipro Ltd was the top gainer on the Nifty with a 7.2% rise that also saw the stock touch a record high.,www.in.finance.yahoo.com/news//news/sensex-nifty-rise-tcs-wipro-040844376.html

company :ITC.NS
Sensex^ Nifty close higher as IT shares gain,Indian stocks ended higher in volatile trading on Friday^ helped by information technology and energy shares^ although investors remained nervous about rising coronavirus cases and tensions with China.  The NSE Nifty 50 index ended up 0.91% at 10^383 and the benchmark S&P BSE Sensex gained 0.94% at 35^171.27.  The Nifty information technology index was the top gainer^ rising 4.1%.,www.in.finance.yahoo.com/news//news/sensex-nifty-gain-boost-financials-041714917.html
Sensex^ Nifty end lower as RBI loan relief hits banks,Indian shares slid on Friday^ as banks fell after the central bank decided to cut policy rates and extend a relief period for loan repayments in an effort to contain the economic fallout of the COVID-19 pandemic.  The Reserve Bank of India extended a moratorium on loan repayments by a further three months^ as many borrowers are out of jobs due to the weeks-long lockdown that has threatened to push Asia's third-largest economy into recession.  Steps including a loan restructuring scheme^ the possibility of creating a "bad bank" for stressed sectors and infusing more liquidity via bank recapitalization bonds could help support India's lenders^ economists at HSBC in Mumbai said in a report.,www.in.finance.yahoo.com/news//news/sensex-nifty-rise-banks-itc-041806348.html

company :GAIL.NS
India's GAIL says sustained cheaper spot LNG prices are the biggest risk,India's top gas utility GAIL (India) Ltd sees the falling spot price of liquefied natural gas (LNG) as the biggest risk to its business^ its chairman Manoj Jain said on Monday.  Spot prices of LNG in Asia hit a record low around $3 per million British thermal units (mmBtu) this month^ making supplies of gas under previously agreed long-term deals unattractive for some price sensitive customers in India.  GAIL over-committed to new LNG volumes through long-term deals with the U.S. and Russia earlier this decade when supply was scarce and buyers rushed to secure deals.,www.in.finance.yahoo.com/news//news/indias-gail-says-sustained-cheaper-114132026.html

company :NTPC.NS
NTPC to borrow $478 million from Japanese banks to fund clean energy,India's largest electricity generator NTPC Ltd said on Wednesday it would borrow 50 billion yen ($478 million) from Japanese banks to fund the installation of emission-cutting equipment and green energy projects.  "The loan proceeds will be utilized by NTPC Ltd^ the PSU under Ministry of Power^ for funding its capex for Flue Gas Desulphurization (FGD) & Renewable Energy projects^" government-run NTPC said in a statement.  Flue Gas Desulphurization (FGD) units cut emissions of sulphur dioxides - which are linked to lung diseases and acid rain - from coal-fired power plants.,www.in.finance.yahoo.com/news//news/ntpc-borrow-478-million-japanese-130354442.html
NTPC seeks bids for biomass pellets to fuel thermal power plants,India's top power utility NTPC Ltd has sought bids for procuring biomass pellets to fuel its thermal power plants^ the government statement said on Sunday^ in an effort to cut down air pollution from burning of crop residue.  The state-owned power producer aims to use 5 million tonnes of pellets^ made from crop waste^ to fuel 17 of its power plants in the current year^ the statement said.,www.in.finance.yahoo.com/news//news/ntpc-seeks-bids-biomass-pellets-113422561.html
NTPC keen to buy Reliance Group's Delhi power distribution units,India's largest electricity generator NTPC Ltd <NTPC.NS> said it was interested in buying a majority stake in Reliance Group's power distribution assets in Delhi.  "NTPC is keen to explore the opportunities for acquiring 51% stake in BRPL and BYPL^ which are on sale^" it said in a letter to the Delhi Electricity Regulatory Commission dated May 26.,www.in.finance.yahoo.com/news//news/ntpc-keen-buy-reliance-groups-055110880.html

company :GRASIM.NS
Grasim Industries Q2 PAT rises 3% to Rs 1^521 cr,Grasim Industries' consolidated net profit gained 3.30percent to Rs 1^521.40 crore on a marginal increase in revenue from operations to Rs 18^400.25 crore in Q2 September 2020 over Q2 September 2019.,www.in.finance.yahoo.com/news//news/grasim-industries-q2-pat-rises-114800230.html

company :COALINDIA.NS
Real estate^ pharma firms among winners of India's coal mine auctions,Real estate^ infrastructure and pharmaceutical companies were among the winners of India's first coal mine auctions open to the private sector without restrictions on end-use^ the government said on Monday.  Coal production in India has largely been restricted to state-run Coal India Ltd <COAL.NS> and another smaller government-controlled company^ but Prime Minister Narendra Modi opened up the industry to the private sector this year.,www.in.finance.yahoo.com/news//news/real-estate-pharma-firms-among-014149274.html
Coal minister wants Coal India units to set prices independently,India's Coal Minister Pralhad Joshi said on Wednesday the units of Coal India Ltd should be allowed to independently set fuel prices in a bid to increase competition and reduce the price of coal in the country.  State-run Coal India^ the world's largest coal mining company by output^ has seven units and accounts for more than four fifths of domestic production.  It sets the price of various grades of coal in India after consultation with stakeholders.,www.in.finance.yahoo.com/news//news/coal-minister-wants-coal-india-143423272.html
Coal India sees fastest growth in output^ sales for six years in Sept,Coal India Ltd's output and sales grew by nearly a third during September from a year earlier^ the company said on Thursday^ as coal-fired power generation picked up and demand from smelters and other consumers increased.  State-run Coal India accounts for over 80% of the country's production and is the world's largest coal miner by output.  Its output rose 32% to 40.51 million tonnes in September^ the company said in a stock exchange filing.,www.in.finance.yahoo.com/news//news/coal-india-sees-fastest-growth-122142210.html

company :TATASTEEL.NS
Sweden's SSAB abandons plan to buy Tata Steel's Dutch plant,Swedish steelmaker SSAB has ended talks over a potential acquisition of Tata Steel's Dutch steel mill^ it said on Friday^ adding a fresh twist to the ongoing consolidation of Europe's steel sector.  SSAB announced in November that it was in talks to buy IJmuiden^ raising funding concerns among some analysts and SSAB investors about the $2 billion to $3 billion deal.  "We carefully evaluated Tata Steel IJmuiden and have concluded that an acquisition would be difficult for technical reasons^" SSAB Chief Executive Martin Lindqvist said.,www.in.finance.yahoo.com/news//news/swedens-ssab-abandons-plan-buy-111225738.html
Tata Steel to continue separation of European activities - works council,Tata Steel's European works council on Friday said it expected the separation of Tata Steel's Dutch and British operations to continue^ despite Swedish steelmaker SSAB's decision to halt talks over the potential acquisition of Tata's Dutch steel mill.  "It is unclear how we will proceed^ but we expect the separation to continue^" works council chair Cinta Groos told Reuters.  Groos said she did not expect takeover talks with ThyssenKrupp to be revived^ after the European Commission blocked a merger between Tata's European activities and the German company in 2019.,www.in.finance.yahoo.com/news//news/tata-steel-continue-separation-european-094930555.html
SSAB eyes Tata Steel's Dutch assets as European consolidation picks up,Swedish steelmaker SSAB <SSABa.ST> is in talks with Tata Steel <TISC.NS> about potentially buying the Indian group's Dutch steel mill in IJmuiden and related assets^ it said on Friday.  "SSAB has participated in several different discussions concerning consolidations in the European steel industry^" the company said.  "The discussions with Tata are ongoing but no decisions have been made.",www.in.finance.yahoo.com/news//news/ssab-eyes-tata-steel-assets-150637975.html

company :HEROMOTOCO.NS
Hero MotoCorp sets up separate unit to sell Harley motorcycles,India's Hero MotoCorp has set up a separate business unit to sell Harley-Davidson vehicles in India^ Hero said on Wednesday^ months after the U.S. company ended most of its operations in the world's largest motorcycle market.  Hero has added 11 Harley-Davidson dealers in India and begun wholesale dispatches of Harley products to dealers from Jan. 18^ the company said in a statement to Indian stock exchanges.,www.in.finance.yahoo.com/news//news/hero-motocorp-sets-separate-unit-120337880.html
Harley close to deal with India's Hero after stopping local manufacturing- sources,Harley-Davidson Inc <HOG.N> is in advanced talks with India's Hero MotoCorp <HROM.NS> for a distribution deal which will allow the U.S. company's motorcycles to be sold in India^ after it stops local manufacturing there^ three sources told Reuters.  The Milwaukee-based company said on Thursday it will stop sales and shut its manufacturing plant in India^ effectively abandoning the world's biggest motorcycle market after a decade of unsuccessful efforts to gain a foothold.  Harley^ however^ is in talks with Hero over a distribution arrangement that will allow the Indian company to import and sell Harley bikes as its sole distributor^ two sources with familiar with the talks said.,www.in.finance.yahoo.com/news//news/harley-close-deal-indias-hero-094301883.html
Sensex^ Nifty end higher as easing curbs outweigh COVID-19 surge,Indian shares ended higher on Wednesday^ led by gains in Reliance Industries and financials^ as optimism around reopening of the economy and buoyant global risk sentiment trumped concerns over a surge in domestic COVID-19 infections.  The NSE Nifty 50 index ended up 0.69% to 10^116^ while the benchmark S&P BSE Sensex gained 0.86% at 34^247.05.  Heavyweight Reliance Industries added 2.3% and was a top boost to the Nifty 50 index^ while IndusInd Bank Ltd surged 7.7%^ to end as the top gainer in the Nifty index.,www.in.finance.yahoo.com/news//news/nifty-sensex-gain-investors-bet-040748517.html

company :TCS.NS
Deutsche Bank to sell IT unit to Tata as it trims staff,Germany's Deutsche Bank has agreed to sell its IT services division Postbank Systems to India's Tata Consultancy Services^ it said on Monday.  Postbank Systems has around 1^500 employees^ mainly in the German city of Bonn.  The sale is part of Deutsche's plan to shed 18^000 staff overall to cut costs and restore profitability.,www.in.finance.yahoo.com/news//news/deutsche-bank-sell-unit-tata-140245093.html
Sensex^ Nifty rise for sixth session as buyback plans boost TCS^ Wipro,Indian shares ended higher for a sixth session as buyback plans from Tata Consultancy Services and Wipro powered the main stock index to a level last seen in February.  IT stocks were among the top gainers on the blue-chip Nifty 50^ leading the Nifty IT index up as much as 5.5% to a record high.  Wipro Ltd was the top gainer on the Nifty with a 7.2% rise that also saw the stock touch a record high.,www.in.finance.yahoo.com/news//news/sensex-nifty-rise-tcs-wipro-040844376.html
TCS plans up to $2.2 billion buyback as legal costs hit profit,Tata Consultancy Services said on Wednesday it would buy back shares worth up to 160 billion rupees ($2.18 billion)^ and reported a fall in quarterly profit as it set aside 12.18 billion rupees to cover legal fees related to a U.S. lawsuit.  TCS said it would buy back up to 53.3 million shares at 3^000 rupees per share^ a 9.7% premium to its stock's closing price on Wednesday.  "The timing of the buyback has been partly triggered due to the ongoing feud between Tata and the Mistry group (Shapoorji Pallonji group)^ with the Mistry group looking to exit its Tata Sons holdings^" said Jyoti Roy^ an analyst at Angel Broking.,www.in.finance.yahoo.com/news//news/tcs-buy-back-2-2-131141841.html

company :ICICIBANK.NS
ICICI Bank's (IBN) Q3 Earnings Rise Y/Y^ Provisions Jump,Higher net interest income and growth in loans support ICICI Bank's (IBN) fiscal Q3 earnings^ while provisions continue to rise.,www.in.finance.yahoo.com/news//news/icici-banks-ibn-q3-earnings-131701033.html
ICICI Bank hits record high on upbeat December quarter results,Shares of ICICI Bank rose as much as 5.2% to an all-time high on Monday^ after India's second-largest private lender reported strong December quarter results buoyed by improved loan growth.  On Saturday^ ICICI Bank reported https://www.bseindia.com/xml-data/corpfiling/AttachLive/c604cdfb-5c70-4245-926b-1c97e36a0203.pdf a robust 19% year-on-year increase in net profit for the three months ended Dec. 31^ although provisions also rose.  "With strong balance sheet and capital position^ the bank is geared to capitalise growth opportunity in the system.",www.in.finance.yahoo.com/news//news/icici-bank-hits-record-high-043915120.html
ICICI Bank's (IBN) Q2 Earnings Up Y/Y^ Provisions Increase,Higher net interest income and fall in costs support ICICI Bank's (IBN) fiscal Q2 earnings.,www.in.finance.yahoo.com/news//news/icici-banks-ibn-q2-earnings-114711868.html

company :MM.NS

company :BHARTIARTL.NS
Bharti Airtel posts first quarterly profit in nearly two years,Bharti Airtel swung to a quarterly profit on Wednesday and posted record revenue^ as the Indian telecom carrier added more subscribers and saw higher data usage spurred by the coronavirus-led work-from-home trend.  Separately on Wednesday^ Airtel said it would raise up to 75 billion rupees ($1.03 billion) by issuing debt securities^ but did not provide further details.  The telco added 4.4 million subscribers last November^ more than double of what market leader Reliance Jio raked in for the month^ regulatory data from last week showed.,www.in.finance.yahoo.com/news//news/bharti-airtel-swings-quarterly-profit-105736722.html
Nokia (NOK) & Airtel Kenya Tie-Up to Enhance Nairobi Network,Nokia's (NOK) collaboration with Airtel Kenya is likely to enable the carrier to offer enhanced voice and data services while reducing network complexities across Nairobi and the rest of Kenya.,www.in.finance.yahoo.com/news//news/nokia-nok-airtel-kenya-tie-140802986.html
Bharti Airtel second-quarter revenue jumps 22% on higher tariffs^ 4G additions,Indian telecom operator Bharti Airtel Ltd reported its highest-ever quarterly consolidated revenue on Tuesday^ helped by higher tariffs and additions to its 4G subscriber base.  Indian telecom operators^ grappling with low tariffs due to a price war that ensued after Mukesh Ambani's Reliance Jio entered the space^ hiked prices last year as they were ordered to pay 920 billion rupees ($12.44 billion) in dues to the government.  "The main reason is that they added a lot more 4G customers than we expected... that had an effect on ARPU (average revenue per user)^" said Vivekanand Subbaraman^ an analyst at Ambit Capital^ who was expecting revenue to come in at 252.93 billion rupees.,www.in.finance.yahoo.com/news//news/bharti-airtel-second-quarter-revenue-104738359.html

company :ONGC.NS
India ONGC sees peak gas output from east coast block in 2024,India^ the world's fourth biggest importer of liquefied natural gas^ wants to boost local gas output as Prime Minister Narendra has set a target to raise the share of the cleaner fuel in the country's energy mix to 15% by 2030 from the current 6%.  Most of the future gas production is expected from the Krishna Godavari basin^ where ONGC and Reliance Industries operate blocks.,www.in.finance.yahoo.com/news//news/india-ongc-sees-peak-gas-123121454.html
Indian oil firms need to bring in foreign players to unlock resources: Pradhan,India's oil minister Dharmendra Pradhan asked exploration companies to consider farming out their acreages to global players with advanced technology to expedite development and raise oil and gas output.  India^ the world's third biggest oil importer and consumer^ depends on foreign purchases for over 80% of its oil needs.  "The government will grant petroleum mining lease rights but the companies should consider a farm-out (of a stake) to get global technology players^" Pradhan said in Hindi.,www.in.finance.yahoo.com/news//news/indian-oil-firms-bring-foreign-094925691.html
ONGC unlikely to buy overseas oil^ gas assets at current prices,India's top explorer Oil and Natural Gas Corp is unlikely to buy overseas oil and gas assets at current prices of about $45 a barrel^ its finance chief said on Wednesday.  Its overseas investment arm ONGC Videsh (OVL) has already seen a decline in profit^ as some of its acquisitions^ such as Imperial Energy in Russia^ were made when global oil prices were above $100 a barrel.  OVL has a debt of 420 billion Indian rupees ($5.74 billion)^ with its long term borrowings backed by ONGC.,www.in.finance.yahoo.com/news//news/ongc-unlikely-buy-overseas-oil-105857464.html

